Total_population,Median_age,BachelorsDeg_or_higher,Unemployment_rate,Per_capita_income,Total_households,Average_household_size,Owner_occupied_housing,Renter_occupied_housing,Vacant_housing,Median_home_value,Population_growth,House_hold_growth,Per_capita_income_growth,Winner
6976,36.2,16,6.3,18650,2507,2.76,60.3,16,23.7,110377,-0.48,-0.35,1.96,Republican
1038,31.1,12.9,6.4,13149,346,3,42,20.4,37.7,92708,-0.51,-0.47,0.41,Republican
4393,46.4,20.4,3.4,19365,1826,2.37,43.2,14.4,42.4,122775,0.6,0.72,2,Republican
29853,29.5,19.8,8.2,18934,9492,2.74,44.1,32.7,23.3,133398,0.24,0.31,2.08,Republican
13080,29.5,15.8,7.9,16584,4028,3.23,71.6,17.6,10.8,136824,1.15,1.16,2.16,Republican
143638,38.1,21.9,10.7,22048,55281,2.57,66,23,11.1,192282,1.94,1.95,2.31,Republican
8225,47.4,20.9,6.2,19252,3498,2.34,59.9,18.8,21.3,132286,0.27,0.34,2.23,Republican
4274,36.9,17.6,5.3,17142,1503,2.81,65,14.4,20.6,127696,0.29,0.36,1.82,Republican
11414,35.4,12.6,6,16070,3980,2.85,56.6,24.6,18.8,111695,0.12,0.13,2.3,Republican
10057,32.3,31.9,4.1,23594,3609,2.78,55.9,19.7,24.4,272604,4.12,4.31,2.73,Republican
75925,35.9,18.7,8.4,21126,28824,2.58,62.9,29.5,7.7,150873,1.33,1.41,2.25,Republican
9248,47.4,30.1,8.4,22887,3963,2.32,29.3,7.9,62.7,207518,0.99,1.11,1.94,Republican
15862,44.3,16,12.5,22650,6547,2.38,59.4,18.6,22.1,97706,-0.54,-0.47,2.62,Democrat
195296,28.9,43.1,10.2,25244,77287,2.27,49.6,40.7,9.7,139396,0.35,0.52,3.34,Democrat
7574,44.4,12.3,10.4,20414,3142,2.39,57.5,15.8,26.7,73169,-0.92,-0.86,2.32,Democrat
22046,45.1,18.4,8.4,24802,9376,2.33,53.6,16.2,30.2,137835,-0.14,0,2.94,Democrat
526746,33.9,32.4,12.1,29485,173705,3,70.1,23.3,6.6,241144,1.52,1.49,2.86,Democrat
52389,41,17.8,10.6,22359,20824,2.3,61.8,25.6,12.6,87127,-0.73,-0.72,2.61,Democrat
16772,42.6,15.3,11.8,21982,6632,2.5,70.8,18.7,10.4,99939,-0.19,-0.12,2.43,Democrat
6133,42.9,14.7,12.4,24591,2469,2.48,63.4,13.9,22.7,130500,-0.46,-0.38,2.57,Democrat
712697,34.9,30.6,12,30905,236966,2.97,76,16.5,7.6,242349,1.57,1.57,2.49,Democrat
56000,36.5,17.7,18.2,26445,19552,2.85,69.5,19.6,10.9,185613,1.96,1.95,2.89,Republican
16774,42,16.6,13.2,21073,6944,2.38,64.2,19.5,16.3,89653,-0.15,-0.1,2.48,Republican
13734,41.9,12,13.3,18387,5620,2.38,68.3,18.2,13.5,70432,-0.51,-0.46,2.62,Republican
19497,41,12.6,9.3,19505,7522,2.38,66.9,17.3,15.7,75276,-0.49,-0.48,2.65,Republican
16400,40.5,14,9.2,26037,6690,2.41,65.4,22.5,12.2,105602,-0.25,-0.2,2.92,Republican
19644,39,16.8,8.1,21930,7559,2.56,68.2,20.8,11,100297,-0.22,-0.16,2.64,Republican
39406,42.9,14.1,15.5,17852,16764,2.32,66,20.1,13.9,68631,0.06,0.12,2.62,Republican
6057,44.2,8,11.2,17630,2599,2.3,65.4,16.5,18.1,59408,-0.65,-0.58,2.92,Republican
48998,38,18.3,13,27703,18932,2.57,65.6,25.4,9,194311,1.73,1.8,2.74,Republican
18933,43.1,18.7,13.5,20955,7660,2.42,67.4,17.3,15.3,80614,-0.64,-0.6,2.15,Republican
30330,42.5,12.3,9,21679,11947,2.48,65.3,20.4,14.3,110574,-0.34,-0.3,2.42,Republican
40137,40.2,16.9,11.4,19929,15609,2.41,63.4,22.5,14.1,86633,-0.07,-0.01,2.78,Republican
23065,40.4,15.3,10.1,23522,8791,2.52,67.4,19.8,12.7,128820,0.35,0.45,2.87,Republican
16551,41.2,11.8,9.9,18851,6010,2.32,63.5,20.1,16.5,62544,-0.53,-0.57,2.63,Republican
37748,38.9,15.7,11.8,23085,14074,2.48,65.2,23.4,11.4,111042,-0.36,-0.32,2.73,Republican
32813,31.3,31.7,10.2,19979,11842,2.24,53.7,33,13.3,84232,-0.47,-0.51,2.84,Republican
108924,40.2,20.5,14.4,24774,45371,2.32,62.1,25.8,12.1,93690,-0.58,-0.33,3.33,Republican
48175,41.4,14.5,11.3,21188,19127,2.45,67.6,18.9,13.4,99558,-0.2,-0.14,2.62,Republican
270134,39,23.6,12.3,25585,108773,2.43,66.2,24.6,9.2,118821,0.31,0.43,3.11,Republican
13070,44.2,17.5,10,22897,5264,2.43,66.7,17.3,16,112705,-0.09,-0.01,2.46,Republican
15085,41.7,13.2,11.4,18881,6312,2.34,66.2,19.2,14.6,85789,-0.07,0,2.78,Republican
12633,41.2,24.1,8.8,25745,5004,2.49,68.2,18.9,12.9,123111,-0.38,-0.31,2.7,Republican
55755,39.2,20.5,13.1,25077,21255,2.59,67.4,23.6,9,163733,0.55,0.6,2.81,Republican
22580,39.5,12.7,15.1,18884,8430,2.38,66.7,19.1,14.1,78549,-0.25,-0.19,2.57,Republican
16881,42.6,24.8,8.5,26340,6775,2.46,73.1,18.7,8.2,126163,-0.02,0.05,2.64,Republican
16514,42.3,12.3,9.9,18049,6604,2.4,60.7,18.6,20.6,76024,-0.49,-0.46,2.14,Republican
4125,44.8,13.2,14.5,18473,1679,2.29,56.3,12.9,30.8,80688,-0.66,-0.62,2.51,Republican
15504,41.6,15.7,14.1,19704,6435,2.36,62.4,19.8,17.9,85574,-0.53,-0.46,2.66,Republican
5179,41.5,14.8,8.1,19827,2107,2.43,64.6,19.4,16.1,77727,-0.72,-0.64,2.38,Republican
6195,42.3,13.8,11.3,20170,2508,2.42,68.3,20.9,10.9,93367,-0.24,-0.16,2.39,Republican
12112,41.2,12.9,13.5,20226,4939,2.42,62.5,21.2,16.3,70424,-0.71,-0.63,2.56,Republican
14988,41.5,16.1,9.3,22402,5841,2.52,69.8,17.1,13.1,103877,-0.17,-0.13,2.54,Republican
39275,40.2,24.8,9.2,26602,14398,2.65,75.8,16.4,7.8,152311,0.75,0.85,2.73,Republican
112536,39.1,17,11.8,23582,42659,2.48,65,22,12.9,115995,0.16,0.26,2.53,Democrat
165244,38.6,26.3,8.7,29713,63535,2.54,70.5,21.9,7.6,146246,0.74,0.92,2.54,Democrat
34031,34.5,13,11,21092,12203,2.74,69.8,21.2,9,106835,0.05,0.18,2.46,Republican
75953,38.5,26,10.1,25967,29798,2.52,66.7,23.6,9.7,121317,0.63,0.65,2.61,Republican
15391,44.5,22,10.9,24377,6202,2.46,65.9,12,22,128626,-0.6,-0.49,2.48,Republican
109822,39,17.4,9.5,25333,45661,2.37,64.4,27.9,7.7,117410,1.09,1.29,2.69,Republican
33800,37.9,12.6,11.5,21880,12634,2.6,66.2,24.8,9,107365,-0.17,-0.13,2.39,Republican
30321,37.3,12,6.4,18904,11234,2.66,68.9,19.5,11.5,88095,0.2,0.24,2.28,Republican
51396,39,18.5,10.6,25121,19202,2.65,72.9,20.1,7,133923,0.76,0.89,2.52,Republican
25402,38,14.1,12.4,23154,10026,2.5,67,24.4,8.7,111256,0.19,0.36,2.47,Republican
42421,36.8,14.9,12.5,24412,16334,2.57,74,17.4,8.6,106250,0.31,0.44,2.35,Republican
41926,38.6,17.5,6.9,23905,16069,2.56,72.6,20.9,6.5,108589,0.31,0.45,2.43,Republican
24396,40,9.9,14.8,23412,9969,2.4,63.1,25.4,11.5,96010,-0.46,-0.34,2.56,Republican
20362,40.3,12.6,10.5,21389,8133,2.48,66,18.5,15.5,91543,-0.09,-0.04,1.94,Republican
68609,39.2,17.1,12.4,22801,26909,2.35,63.1,23.4,13.5,86482,-0.83,-0.73,2.61,Republican
83355,39.2,21.5,15.8,27752,34833,2.36,62.1,25,12.9,90554,-0.23,-0.13,2.69,Republican
37730,38.1,17,11.9,23523,14387,2.51,67.7,20.5,11.9,98823,-0.23,-0.12,2.45,Republican
45372,41.1,13.3,11.8,21977,18865,2.37,68.4,18.7,12.9,88731,-0.11,0.05,2.44,Republican
9987,41.7,9,7.8,21315,4162,2.37,65.5,15.7,18.8,77638,-0.48,-0.31,2.28,Republican
71529,38.5,15.3,10.4,24628,26651,2.66,71.9,18.5,9.6,126972,0.36,0.45,2.56,Republican
48557,35.5,13.7,13.6,21768,17798,2.69,69.2,19.9,10.9,107437,0.2,0.27,2.33,Republican
44615,38.7,15.6,11.3,24964,17401,2.52,66.1,24.1,9.8,114316,0.22,0.35,2.58,Republican
23943,39.5,10.6,12.6,19751,9079,2.6,68.5,16.6,14.9,99846,0.05,0.16,2.09,Republican
34449,37.9,18.6,11.9,24340,13503,2.48,53.7,15.4,30.9,108100,0.07,0.18,2.38,Republican
21473,39.9,11.3,10.4,19191,7845,2.45,68,17.6,14.3,76709,-0.14,-0.08,2.38,Republican
7290,38.8,11.3,11,21519,2823,2.55,63.6,20.6,15.8,96522,-0.13,-0.04,2.3,Republican
176122,38.8,22.9,9.3,25216,73401,2.3,59.6,30.3,10,96026,0.21,0.3,2.8,Republican
32859,39.8,16.7,11.3,23222,12704,2.43,67.6,21.9,10.5,92745,-0.66,-0.57,2.39,Republican
8732,41.7,16.9,8.7,22565,3418,2.52,71.2,17,11.8,94102,-0.02,0.1,2.32,Republican
59904,39.6,25.3,7.7,27239,22878,2.59,75.4,15.6,9,114336,1.09,1.24,2.52,Republican
28282,38.9,17,9.9,23557,10903,2.55,73.3,17.8,8.9,99633,0.09,0.2,2.26,Republican
115494,28.4,47.6,7.2,24696,45105,2.37,47.9,45.2,6.8,151736,1.57,1.7,2.78,Democrat
154415,33.7,14.9,11.3,20174,58777,2.6,53.8,32.9,13.3,70855,-0.22,-0.22,2.29,Democrat
13459,41.1,15.4,7.5,18705,5489,2.39,62.8,21.8,15.3,65166,-0.73,-0.66,2.25,Republican
16513,37,21.5,9.6,18928,6270,2.47,65,24.3,10.7,84967,-0.2,-0.13,2.17,Republican
2990,43.7,19.9,4.6,20208,1255,2.29,56.8,20.7,22.5,78772,-0.3,-0.21,2.17,Republican
4051,47.1,14.9,8.4,18018,1674,2.33,61.5,14.4,24.2,52143,-0.87,-0.91,2.51,Republican
9372,44.1,21.3,4.4,20524,3833,2.27,58,20.7,21.4,63452,-0.91,-0.9,2.33,Republican
8551,42.2,20.4,6.4,20639,3391,2.47,65.3,18.3,16.4,89627,-0.44,-0.43,2.05,Republican
34428,38.9,21.4,9.6,20222,13471,2.42,59.6,24.8,15.7,79225,-0.61,-0.58,2.18,Republican
7898,38.5,15.1,7.2,18706,3090,2.43,64.3,22.3,13.4,68584,-0.55,-0.48,2.2,Republican
3101,43.7,19.6,5,19411,1318,2.31,58.1,17.3,24.6,55213,-1.03,-1.04,2.29,Republican
3092,48.6,10.9,7.3,18435,1350,2.23,57.7,14.4,28,50091,-0.54,-0.54,2.26,Republican
27630,34.1,33.8,4.3,23217,11522,2.29,56.9,34,9,117470,0.33,0.47,2.55,Republican
33749,31,20.2,5.3,19353,11101,2.97,58.1,31.9,10,95561,0,-0.09,2.34,Republican
5862,45.2,16.9,6,18842,2509,2.27,57.2,20.4,22.5,63859,-1.02,-1,2.23,Republican
2048,43,20,2.9,18769,789,2.55,61.3,17.5,21.3,75111,-0.38,-0.36,2.33,Republican
549792,36.8,50.8,5.6,38963,214048,2.55,68.3,26.7,5,192880,1.44,1.48,2.07,Republican
2907,43.4,22.2,4.9,20107,1240,2.26,47.8,18.9,33.3,60962,-1.19,-1.12,2.12,Republican
21958,40.3,18.8,7.5,18963,8965,2.35,62.7,23.9,13.4,67670,-0.41,-0.23,2.3,Republican
1892,45.2,21.6,2.8,22234,819,2.28,60,18.1,21.9,65379,-1.3,-1.2,2.32,Republican
77230,36.9,26.9,6.7,24234,26437,2.66,61,30.2,8.7,123682,0.86,0.99,2.28,Republican
3324,47.5,20.6,4.8,18715,1439,2.26,59.5,17.1,23.4,60968,-0.79,-0.73,2.01,Republican
2699,43.3,20.7,3.7,20057,1118,2.36,59.3,19.3,21.4,70758,-1.2,-1.13,2.38,Republican
29724,39.2,25.9,4.4,23332,11404,2.46,66.9,24.1,9,115108,-0.36,-0.34,2.24,Republican
12490,44.5,21.2,5.7,19200,4780,2.45,63.2,16.5,20.3,81633,-0.88,-0.92,2,Republican
4515,38,20,4.1,19386,1672,2.63,62.9,22,15.1,78176,-0.39,-0.42,2.31,Republican
6261,45.2,19.8,6.5,21613,2616,2.26,58.6,20,21.4,75906,-0.94,-0.89,2.43,Republican
34274,41.1,18.9,10.6,19497,14287,2.34,58.4,23.7,18,71025,-0.37,-0.3,2.32,Republican
5975,45.3,16.3,5.6,20607,2519,2.34,59,17.4,23.6,77149,0.31,0.39,2.27,Republican
3026,47.5,21.2,2.7,21824,1363,2.16,56.2,18,25.7,58111,-1.32,-1.2,2.42,Republican
5413,42,18.4,4.8,18695,2057,2.25,59.2,17.6,23.2,67850,-0.95,-1.04,2.4,Republican
5462,45.5,19.1,3.6,20431,2296,2.32,57.6,16.7,25.6,71174,-0.84,-0.79,2.16,Republican
2583,49,18.9,2.6,20041,1137,2.22,55.4,17.3,27.3,57946,-1.38,-1.23,2.39,Republican
70367,24.9,45.1,7.8,21036,25347,2.39,43.8,50.6,5.6,136783,1.24,1.49,2.73,Republican
4686,42.7,26.9,3.2,25229,1911,2.41,61.5,21.4,17.1,92340,-0.68,-0.55,2.86,Republican
488178,35,27.3,9.1,25590,193041,2.5,59,30.7,10.3,97276,0.82,0.87,2.45,Republican
176464,39,30.4,6.5,25944,73431,2.34,61.5,30.3,8.2,97483,0.31,0.43,2.57,Republican
6095,39.3,17.8,4,20463,2526,2.36,55.1,25.2,19.7,83433,-0.69,-0.62,2.35,Republican
3976,49.6,19.8,3.8,17831,1723,2.24,58.4,15.7,25.9,57259,-1.31,-1.31,2.01,Republican
1614,42.7,17.6,5.2,20179,644,2.47,62.8,18.6,18.6,63900,-0.65,-0.5,2.85,Republican
2275,37.8,18.7,3.3,19534,890,2.53,59.3,20.5,20.2,71146,-1.35,-1.24,2.55,Republican
9643,43.1,13.3,10.3,17735,3954,2.38,61.8,18.2,20,61691,-0.7,-0.68,1.99,Republican
19195,38.9,12,12.6,17719,7591,2.5,65.7,18,16.4,82616,0.81,0.9,0.88,Republican
8392,42.9,13.2,6.8,20464,3505,2.35,69.9,16.1,14,69626,0.03,0.12,0.8,Republican
48822,42.8,17.2,9.1,21688,20069,2.32,63.1,24.4,12.5,92339,-0.13,0,0.86,Republican
19305,41.6,9.7,11.7,18327,7796,2.44,58,13.6,28.4,80516,0.14,0.29,0.99,Republican
77411,37.4,11.4,11.4,23232,29187,2.64,78.7,16,5.3,148925,1.73,1.91,1.83,Republican
86933,37.2,24.6,11.1,27323,35646,2.38,61.5,29.1,9.3,116826,-0.22,-0.03,1.89,Republican
27501,39.1,11.8,13.7,16216,10984,2.45,68.7,16.9,14.4,63418,0.04,0.24,1.24,Republican
16238,40.8,10.2,12.9,15124,6799,2.36,67,16.6,16.4,61549,0.27,0.43,1.58,Republican
24066,37.2,11.5,17,12005,8695,2.52,64.1,22.4,13.5,46830,-0.24,-0.07,1.6,Republican
42563,39.8,12.8,15.6,15143,17589,2.36,67,21.6,11.4,58396,0.07,0.27,1.3,Republican
8309,37.5,9,11.4,19408,3133,2.62,65.3,19.9,14.8,101253,-0.08,0.03,0.65,Republican
11530,43.6,12.3,12.6,17344,4821,2.36,63.8,18.5,17.8,71451,0.08,0.19,1.34,Republican
37581,42.9,14.3,9.1,20669,15360,2.42,71.8,17.2,11,87370,0.17,0.36,0.89,Republican
8722,38.1,10.1,10.5,20436,3463,2.5,72.2,16.3,11.5,81754,0.28,0.47,0.6,Republican
31201,41.2,11.9,16.6,13721,12926,2.38,60.8,22.8,16.4,51022,-0.58,-0.41,1.28,Republican
18893,40.6,13.4,10.7,20896,7546,2.47,63,26.3,10.7,103983,0.32,0.44,0.66,Republican
18958,39.5,9.6,12.3,15831,7497,2.5,63.4,19.1,17.4,81254,0.52,0.6,1.05,Republican
46445,41.3,13.5,11.3,20366,19337,2.36,65.1,23,11.9,70008,-0.01,0.14,0.96,Republican
24099,40.8,12.1,13.5,16516,9697,2.43,64.9,20.6,14.5,67710,0.32,0.5,1.25,Republican
17695,39.3,13.8,18.3,13889,7000,2.45,67.9,18.4,13.6,50576,0.1,0.3,1.22,Republican
16382,39.9,9,16.5,14175,6484,2.5,62.6,18.4,18.9,59162,0.4,0.58,1.44,Republican
7628,40.6,6.5,15.6,14585,2962,2.33,64.2,20.9,14.9,51903,-0.44,-0.32,1.58,Republican
11830,39.6,6.6,17.5,12805,4856,2.41,67.2,15.6,17.2,41889,-0.43,-0.25,1.24,Republican
27148,39,12.4,10.7,19280,11006,2.44,64.6,21.6,13.8,85786,0.21,0.34,0.8,Republican
65387,42.3,21.6,9.9,23567,28466,2.25,59.6,28,12.4,92771,0.14,0.29,0.79,Republican
19102,36.6,9.4,18.5,12112,6884,2.47,64.8,21.5,13.7,51150,0.12,0.31,1.36,Republican
83835,33.5,26.7,9.8,20536,32488,2.42,53.1,36.6,10.3,114767,1.54,1.63,0.69,Republican
13389,37.3,9,19.5,13029,5225,2.53,71.9,17,11.1,49759,-0.24,-0.07,1.48,Republican
27764,34.3,13.9,15.7,19806,10338,2.68,64.5,23.9,11.6,97188,-0.29,-0.11,1.06,Republican
22184,41.3,16.8,10.8,21560,9220,2.39,66.2,23.1,10.7,110716,0.47,0.61,0.62,Republican
26096,38.6,17.1,12.4,20613,10648,2.41,64.4,26.1,9.4,99578,1.32,1.5,0.86,Republican
6774,41.2,9.9,15.3,18336,2750,2.43,63.5,21.8,14.7,76585,-0.21,-0.11,0.98,Republican
23889,40.2,9.7,9.4,17758,9543,2.47,70.8,18,11.2,70986,0.22,0.36,0.98,Republican
59931,39.3,34.9,8.8,35374,19844,2.82,81.9,13,5.1,217099,1.6,1.79,1.27,Republican
11579,40.3,11.9,11.1,18768,4578,2.51,59.7,17,23.3,92433,0.7,0.8,0.66,Republican
4761,42,10.9,13.6,11410,1914,2.44,61.7,18.4,19.9,48385,-0.3,-0.15,1.76,Republican
29485,39.5,12,15.9,14836,11918,2.44,66.7,20.6,12.7,56041,-0.1,0.09,1.32,Republican
13950,37.5,9,13.9,15900,5496,2.52,65.7,23.4,10.9,72319,0.53,0.7,1.3,Republican
22742,32.7,27.3,11.4,18091,8405,2.33,59.8,26.8,13.4,82282,0.41,0.6,1.28,Republican
13491,43.9,15.1,15.1,20481,5728,2.34,61.9,14.7,23.4,101241,0.46,0.59,0.85,Republican
11622,40.9,17.1,13.4,19308,4552,2.48,70.9,18.4,10.7,94879,0.54,0.74,1.01,Republican
13803,40.3,9.1,11.2,18813,5547,2.44,66.5,19.3,14.2,59591,-0.39,-0.29,0.75,Republican
25256,40.5,30.3,8.8,28424,9984,2.49,68.6,26,5.4,163207,0.6,0.76,1.53,Republican
8195,32.1,14.7,16.7,11493,2614,2.73,47.9,30.8,21.3,49882,-1.38,-1.42,0.99,Democrat
32992,36.2,11.3,8.6,16045,10891,2.73,65.1,20.6,14.3,99595,-0.17,-0.03,0.67,Democrat
12172,31.3,13,11,12041,4183,2.67,50.8,33,16.2,60066,-0.97,-0.93,0.98,Democrat
21505,36.7,11.4,11.6,16810,7346,2.89,74.9,13.9,11.2,104516,-0.44,-0.27,0.39,Democrat
5558,39,17.5,14.4,15156,2191,2.31,42.9,20.3,36.8,57692,-1.71,-1.43,1.25,Democrat
25818,36.4,10.9,10.3,15575,8526,2.54,65.7,22,12.4,81245,0.06,0.24,0.76,Republican
23119,37,8.9,10.4,16356,8390,2.73,65.8,13.7,20.5,87488,-0.17,-0.01,0.36,Republican
35093,37.5,15.5,8.5,18068,13308,2.55,65.9,17.6,16.5,88764,0.34,0.51,0.47,Republican
14864,40.3,13,11.1,14290,5919,2.45,54.5,16.4,29.1,58137,-0.62,-0.49,0.61,Republican
10656,39,11.1,8.7,14245,4101,2.47,58.8,12.8,28.3,56885,-0.21,-0.06,0.82,Republican
19307,38.8,11.3,10.6,13952,7413,2.51,56.6,19.3,24.1,66741,-0.55,-0.39,0.64,Republican
20723,37.8,13,10.9,17059,6713,2.67,63,14.4,22.7,105178,-0.29,-0.16,0.72,Republican
19999,38.6,11.6,10.4,13729,7511,2.56,63,20.8,16.2,59883,-0.65,-0.51,0.83,Republican
21735,36.8,11.1,7.9,15928,7598,2.54,64.8,15.5,19.8,82145,0.19,0.36,0.56,Republican
435334,38,23.2,6.4,21827,168398,2.56,54.9,32.4,12.6,143946,-0.25,-0.26,0.43,Republican
210850,33.8,28.1,5.8,22048,82757,2.49,60.2,32.5,7.3,140884,0.94,1.1,0.68,Republican
93799,36.3,14.4,5.4,18012,34294,2.69,67.4,20.2,12.4,119772,0.06,0.17,0.4,Republican
125599,35.2,12.9,5.2,18622,45013,2.78,72.9,15.2,11.9,140875,2.58,2.63,0.49,Republican
28799,37.7,11.4,15.2,15324,10921,2.55,58.9,24.7,16.4,64471,-0.81,-0.65,0.61,Republican
237867,37.8,30.6,4.9,26581,89391,2.64,70.8,18,11.2,181298,1.42,1.59,0.69,Republican
119775,34.4,18.6,8,16178,44407,2.61,62,24,14.1,124528,1.06,1.19,0.4,Republican
110329,34.8,14.3,5.6,18259,39253,2.77,64.7,22.1,13.2,123739,0.12,0.29,0.45,Republican
22631,39.9,13.5,8.2,16851,9091,2.44,60.3,14.8,24.9,77482,-0.11,0.07,0.51,Republican
45282,29,14.9,7.8,16803,16599,2.52,43.4,34.5,22.1,77532,-1.44,-1.29,0.66,Republican
41058,40.4,14.4,8.5,17137,16632,2.41,60.6,22,17.4,78313,-0.21,-0.08,0.45,Republican
15430,38.3,10.9,7.9,14515,5549,2.48,53,19.1,27.9,53801,-0.91,-0.87,0.87,Republican
551956,38.8,24.5,12.6,26443,212280,2.52,57.1,35.7,7.2,242505,0.07,0.1,3.02,Democrat
15716,44.5,44.6,1.7,33323,6769,2.29,27.6,11.2,61.2,601783,0.15,0.17,3.34,Democrat
72264,42.6,34.6,10.6,26111,30121,2.35,60.1,29.9,10,204502,-0.1,-0.02,2.76,Democrat
463651,38.3,24.1,13.1,23864,177663,2.51,56.9,35.5,7.6,186884,-0.01,0,2.93,Democrat
155464,35.9,44.2,8.8,30830,58190,2.34,60.1,32.8,7.1,234683,-0.04,0.08,3.2,Democrat
668095,40.8,48.1,8,45005,257352,2.52,66.4,29.4,4.1,368773,0.21,0.27,3.25,Democrat
726875,32.7,38.4,10.9,29668,286656,2.38,31.4,61.9,6.8,325219,0.48,0.46,3.24,Democrat
633635,36.3,25.2,14.2,19216,242595,2.5,39.4,40.7,19.9,122806,-0.12,-0.19,2.65,Democrat
963092,39.3,58.3,6.2,42982,353816,2.7,64.6,30.8,4.6,382054,0.74,0.72,2.74,Democrat
830765,35,31.2,9.4,28562,298414,2.72,55.6,36,8.4,270668,-0.44,-0.41,2.43,Democrat
92677,38.3,27.3,6.6,33493,31528,2.92,76.7,14.1,9.2,358944,1.24,1.23,2.03,Republican
34237,40,15.7,9.1,19995,12782,2.64,67.1,24.1,8.8,196986,0.99,1,1.83,Republican
172886,39.7,29.9,6.3,30896,60824,2.78,77,17.8,5.1,294494,0.53,0.59,2.4,Republican
232704,37.8,36.1,6.8,32689,84518,2.69,71.2,23.7,5.1,300102,0.92,1,2.52,Republican
48923,42.1,30.8,6.8,30973,18618,2.6,75.3,15.9,8.9,311156,1.27,1.31,2.82,Republican
106284,36.2,27.5,7.2,28071,38393,2.68,63.1,25.6,11.3,281724,1.66,1.78,2.43,Republican
37995,47.4,33.5,7,30912,16192,2.31,58.6,24,17.4,277315,0.35,0.39,2.29,Republican
150904,39.9,18.6,8.8,22933,57060,2.48,59.5,32,8.5,197683,1.17,1.23,2.45,Republican
107980,40.6,17.6,8,22404,45298,2.31,57,33.1,9.9,142787,0.11,0.28,1.54,Democrat
281453,40.5,39.3,6.4,30220,117105,2.32,57.3,29.3,13.4,220181,0.23,0.37,1.93,Democrat
30082,41.5,24.9,10.3,19923,12422,2.31,44.7,14.6,40.7,135161,-0.05,0.15,1.5,Democrat
149690,40.1,24.1,7.5,21894,62155,2.29,59.3,26.5,14.2,136707,0.06,0.26,1.61,Democrat
51958,42.6,14.5,10.1,19229,21633,2.36,54,15.9,30.1,119350,0.2,0.37,1.37,Democrat
108427,41.3,16.9,14.8,23297,44138,2.42,71.5,19.7,8.8,92978,-0.19,-0.09,2.5,Democrat
16111,45.4,18.5,14.6,18342,6699,2.16,46.9,12.9,40.1,47202,-1.1,-1.13,2.08,Democrat
277487,32.1,35.5,14.4,24644,108985,2.39,54.1,36.3,9.6,105613,-0.13,-0.08,2.63,Democrat
66194,39.2,27.3,11.6,21328,26303,2.34,50.1,22.7,27.2,92857,0.14,0.18,2.05,Democrat
1223804,39.3,42.5,13.5,40331,489023,2.47,68.3,24.1,7.5,141125,-0.02,0.04,2.54,Democrat
11121,53.9,13.3,22,20903,4960,2.2,36.4,4.6,59,87695,-0.37,-0.28,2.36,Republican
9512,44.9,15.1,14.9,20119,3749,2.28,47.6,10.6,41.8,79913,-0.4,-0.31,1.82,Republican
115068,37.2,18.8,15.3,22647,42335,2.67,70,15.1,14.9,137425,0.26,0.35,1.98,Republican
23961,45.3,22.8,17.3,21389,9728,2.43,47.8,9.1,43.1,120495,-0.46,-0.37,1.82,Republican
8465,41.2,11.2,25.4,18797,3192,2.33,50.6,15,34.4,71141,-0.69,-0.68,1.72,Republican
50170,41.5,14.5,14.8,21738,19713,2.51,61,14.1,24.9,114483,-0.28,-0.18,2.2,Republican
25927,42,23.1,14.5,22570,10516,2.44,48.5,11.7,39.8,125631,-0.27,-0.18,2.24,Republican
25871,45,14.3,13.3,20054,10870,2.35,47.9,10.7,41.4,104744,-0.51,-0.39,2.16,Republican
72386,39.3,24.4,11,26913,27640,2.59,77.2,14,8.8,142828,0.23,0.44,2.53,Republican
14233,44.7,15.6,15.1,20171,5726,2.36,42.7,9.6,47.7,85097,-0.38,-0.23,2.04,Republican
33654,42,29.9,14.7,24021,13829,2.39,46,15.2,38.7,144885,0.05,0.16,2.41,Republican
35040,35,26.8,12.9,17478,13611,2.36,51.1,22,26.9,63607,-0.2,-0.16,2.07,Republican
64981,34.4,12.9,16.4,20496,21867,2.66,70.4,18.1,11.5,110131,-0.2,-0.14,2.12,Republican
25736,48.4,13.8,21.7,20134,11305,2.24,41.9,9.8,48.3,80848,-0.68,-0.56,2.06,Republican
616571,34.2,29.8,13.7,25273,230321,2.62,64.4,28.6,7,128574,0.5,0.54,2.48,Republican
92931,38.7,15.1,18.3,24678,33390,2.72,75.5,14.3,10.2,121214,-0.24,-0.09,2.45,Republican
189999,38.6,31.8,12.8,36127,69291,2.73,79.5,11.7,8.9,171756,0.72,0.87,2.15,Republican
10483,47.2,17.8,8.8,21635,4555,2.26,35.7,9.8,54.5,99108,-1.06,-0.94,1.97,Republican
24367,43.9,11.3,12.3,19852,10364,2.31,57,15.5,27.5,71749,-0.45,-0.33,1.94,Republican
83094,38.9,33.3,11.8,27260,32724,2.5,70.3,20.2,9.5,114809,-0.3,-0.17,2.76,Republican
10261,51.3,10.2,21.8,19841,4547,2.23,38.3,6.7,55,83260,-0.1,0.03,1.98,Republican
49193,38.5,13.8,15.9,18618,18295,2.65,60.7,11.9,27.3,95689,-0.53,-0.48,1.85,Republican
27741,40.1,15.2,18.2,18585,10237,2.64,47.6,10.4,42,96277,-0.37,-0.31,1.83,Republican
6646,50.4,15.4,17,19729,3011,2.15,46.9,8.5,44.6,48870,-1.63,-1.53,1.95,Republican
